name,display_name,user_id,bio,followers_count,following_count,acct_created,location
GOPChairwoman,Ronna McDaniel,2353605901,"@GOP Chairwoman | Wife, mother of two",44611,2632,2014-02-20 18:05:28,
FoxNews,Fox News,1367531,"America’s Strongest Primetime Lineup Anywhere! Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos.",16789940,413,2007-03-17 19:01:26,U.S.A.
RepTipton,Rep. Scott Tipton,242873057,"Proud to Represent the people of #Colorado's 3rd Congressional District. Member of @FinancialCmte, @NatResources & Vice Chairman of @westerncaucus",17260,1277,2011-01-25 20:01:25,"Cortez, CO"
foxnation,Fox Nation,37764422,Join the community that believes in the American dream.,415450,479,2009-05-04 21:25:22,
TwitchyTeam,Twitchy Team,469194846,"Twitchy is your human-powered Twitter aggregator.   If it’s news, Twitchy is on it. If it should be news, Twitchy is ahead of it.",232574,3714,2012-01-20 10:18:16,
SenateRPC,Senate GOP Policy,114896223,"The Senate Republican Policy Committee, chaired by @SenJohnBarrasso, helps shape policy and provides legislative analysis.",10493,1384,2010-02-16 23:42:01,"Washington, DC"
RachaelBL,Rachael Larimore,18171067,"Online managing editor, @weeklystandard. Formerly @slate. Mostly beleaguered Ohio sports fan. #OUScripps grad.",5031,3064,2008-12-16 20:05:16,"Cincinnati, Ohio"
SenatorFischer,Senator Deb Fischer,1071402577,U.S. Senator and Cherry County rancher working to bring some Nebraska common sense to Washington,50770,180,2013-01-08 16:49:07,
RepBobGibbs,Rep. Bob Gibbs,234822928,R-OH https://t.co/2BckMkGpZV,27189,2954,2011-01-06 17:17:21,US Congress
DailySignal,The Daily Signal,2361224263,"We believe high-quality, credible news reporting on political and policy issues is of paramount importance to an informed and free society.",52592,5320,2014-02-25 15:01:18,"Washington, DC"
RepRichHudson,Richard Hudson,935033864,Official Twitter account for Congressman Richard Hudson -- proudly representing the 8th Congressional District of North Carolina.,13855,2088,2012-11-08 17:41:00,"Concord, NC"
SenateCommerce,Senate Commerce,386092483,"Chairman @SenJohnThune | U.S. Senate Commerce, Science, and Transportation Committee",4468,202,2011-10-06 17:11:49,"Washington, D.C."
JeffFlake,Jeff Flake,16056306,Senator from Arizona,363848,217,2008-08-30 17:00:58,"Mesa, AZ"
RepMcKinley,David B. McKinley,240427862,Proud to serve the First District of West Virginia in the U.S. House of Representatives. Member of the Energy and Commerce Committee. Staff-run account,26290,1081,2011-01-19 22:29:00,
ACTforAmerica,ACT for America,168541923,We are the NRA of national security. The nation's largest grassroots organization devoted to promoting national security & defeating terrorism. 750K+ strong!,78746,1801,2010-07-19 17:18:06,"Washington, DC"
senorrinhatch,Senator Hatch Office,262756641,"U.S. Senator from Utah, 2017 Utahn of the Year. Tweets are by Sen. Hatch's staff; those signed ogh are from Sen. Hatch himself.",60042,403,2011-03-08 18:04:18,
CongMikeSimpson,Cong. Mike Simpson,76132891,U.S. Congressman from Idaho's 2nd Congressional District,10751,79,2009-09-21 20:26:26,"Washington, D.C. "
RepTomGraves,Tom Graves,190328374,Conservative Republican representing Georgia's 14th Congressional District #GA14,16895,2097,2010-09-13 17:36:23,"Washington, DC"
JudicialWatch,Judicial Watch 🔎,18247062,"A conservative non-partisan educational foundation promoting transparency, accountability, & integrity in government. Follow us on Instagram: judicialwatch",606464,2002,2008-12-19 18:04:57,"Washington, DC"
FinancialCmte,Financial Services,42924141,"U.S. House Committee on Financial Services – @RepHensarling, Chairman. We're fighting for economic opportunity so taxpayers can achieve financial independence.",22280,3248,2009-05-27 17:00:31,"Washington, D.C."
RosLehtinen,Ileana Ros-Lehtinen,14275291,Blessed to rep beautiful South Florida and the wonderful folks who live here!,112859,2742,2008-04-01 14:59:30,"Miami, Florida"
WarrenDavidson,Warren Davidson,742735530287304704,U.S. Congressman serving Ohio's 8th District. Constitutionalist and former Army Ranger. Don't bankrupt America!,6911,4293,2016-06-14 15:08:44,"Washington, DC"
mkhammer,Mary Katharine Ham,4923811,"Being a mom is my jam. Deep intellectual things are my jam. I like to talk smart things on CNN & https://t.co/62H48Cw2uE, noted sayer of only bad things.",218462,7453,2007-04-16 22:03:18,"Washington, D.C."
RepSeanDuffy,Sean Duffy,234022257,"Devoted husband of one, proud father of eight, and the Representative for Wisconsin's Seventh District. Also at https://t.co/Y7pV5IPxzR. #GoPackGo",28554,2738,2011-01-04 17:28:01,
reihan,Reihan Salam,14275562,"@NRO, @NR_Institute, @Slate, @NationalAffairs, @NewAmerica",40545,724,2008-04-01 15:33:08,"Brooklyn, NY"
GPollowitz,Greg Pollowitz,18493147,Editor at https://t.co/7nCuYrX4dC. RTs are complicated; politics = sarcasticon.,13749,5543,2008-12-31 00:08:03,"Miami, FL"
RepLoBiondo,Frank LoBiondo,241207373,Congressman proudly representing New Jersey's 2nd District. Chairman of House Aviation Subcommittee & CIA Subcommittee,14696,240,2011-01-21 18:28:47,#SouthJersey
HouseJudiciary,House Judiciary ⚖,1131917492,Defending the Constitution since 1813. Chaired by @RepGoodlatte #HJC115,23987,600,2013-01-29 19:25:24,"Washington, D.C."
MacTXPress,Mac Thornberry Press,377534571,"Tweets from the press shop of US Rep. Mac Thornberry. Mac serves the 13th District of TX, which spans from Amarillo to Wichita Falls & is larger than 13 states.",11412,929,2011-09-21 18:42:06,United States Capitol
RepMullin,Markwayne Mullin,1060370282,Father of five. Small business owner. Honored to represent Oklahoma’s conservative values in Congress. https://t.co/0jHkAECORk,13847,1137,2013-01-04 12:43:55,Oklahoma
WaysandMeansGOP,Ways and Means,12788332,"Oldest House committee with jurisdiction over taxes, trade, healthcare, welfare, and Social Security.",35574,562,2008-01-28 15:30:34,"Washington, D.C."
EnergyGOP,Senate Energy GOP,82657929,Official Twitter account for the Senate Committee on Energy and Natural Resources (Majority). Chaired by @LisaMurkowski of #Alaska.,10504,619,2009-10-15 16:44:57,"Washington, DC"
RepJBridenstine,Jim Bridenstine,1092757885,Congressman Jim Bridenstine has the honor of serving Oklahoma's First Congressional District.,22807,2765,2013-01-15 17:33:38,
RepKristiNoem,Rep. Kristi Noem,235251868,"I'm South Dakota's lone Member of the U.S. House of Representatives. I live in Castlewood, SD with my husband Bryon and three kids Kassidy, Kennedy & Booker.",26221,346,2011-01-07 18:44:34,
RepMGriffith,Morgan Griffith,234057152,Congressman Griffith represents the 9th District of Virginia in the U.S. House of Representatives.,22201,411,2011-01-04 19:05:24,9th District of Virginia
davereichert,Dave Reichert,16102244,Representative of the Eighth Congressional District in Washington State,19557,3010,2008-09-02 20:12:26,"Auburn, Washington"
RepGuthrie,Rep. Brett Guthrie,1908143071,Fighting for conservative values in Washington while representing the people of Kentucky's 2nd Congressional District,9399,222,2013-09-26 14:37:17,Kentucky's Second District
HouseAdmnGOP,CHA Republicans,224391627,"Committee on House Administration, Republican Office. Chairman Gregg Harper (R-Miss.)",5131,301,2010-12-08 21:58:36,1309 LHOB
SenatorWicker,Senator Roger Wicker,264219447,U.S. Senator for Mississippi. Please visit my website for updates.,54308,306,2011-03-11 14:59:01,"Mississippi & Washington, DC"
SpeakerBoehner,John Boehner,7713202,Official Twitter account for former U.S. House Speaker John Boehner (R-OH),1432236,7455,2007-07-25 14:42:33,
DickMorrisTweet,Dick Morris,49140008,OFFICIAL Twitter page of Dick Morris.  Visit  http://t.co/igDC8VeioW for Dick's Political commentary!,210046,145,2009-06-20 22:22:04,
MarkAmodeiNV2,RepMarkAmodei,402719755,Proudly representing Nevada's 2nd District,11252,1745,2011-11-01 13:43:55,"Carson City, NV"
RepAbraham,Rep. Ralph Abraham,2962891515,"Proudly representing Louisiana's 5th District. Rural family physician, veteran, farmer, pilot, former veterinarian, husband, father & grandfather.",17284,102,2015-01-05 23:01:54,
RepWalterJones,Rep. Walter Jones,26778110,Proudly representing the people of Eastern North Carolina. #NC03,22743,496,2009-03-26 15:50:58,Eastern North Carolina
VernBuchanan,Rep. Vern Buchanan,20467163,U.S. Congressman,25619,10846,2009-02-09 21:05:19,Florida's 16th District
senrobportman,Rob Portman,18915145,United States Senator from the Buckeye State.,118964,5074,2009-01-12 20:56:42,Ohio
JonahNRO,Jonah Goldberg,71627462,"Dog guy, author, columnist for LAT & USAT, Senior Editor National Review, Fellow AEI, NRI. FNC Contributor. Host of The Remnant Podcast: https://t.co/i1NwKsUmRr",271509,1086,2009-09-04 20:16:13,"Washington, DC"
MZHemingway,Mollie,18005085,I don't share your groupthink and it's unlikely I will be bullied into sharing it. Have a great day.,97136,1460,2008-12-09 22:44:12,"Senior Editor, @FDRLST "
SenToomey,Senator Pat Toomey,221162525,Official Twitter account for Pat Toomey. Husband. Father. U.S. Senator for Pennsylvania.,100073,1065,2010-11-29 22:32:09,
JudgeCarter,Judge Carter,18030431,U.S. Congressman proudly serving the 31st District of Texas & @forthood. Former Judge. Proud @TexasTech Red Raider.,14002,657,2008-12-10 21:00:58,#TX31 
SenateMajLdr,Leader McConnell,1249982359,U.S. Senate Majority Leader Mitch McConnell,419302,93,2013-03-07 20:21:15,"Washington, DC"
SarahPalinUSA,Sarah Palin,65493023,Former Governor of Alaska and GOP Vice Presidential Nominee. Tweets by Sarah Palin signed - SP,1484201,139,2009-08-13 22:56:16,Alaska
RodneyDavis,US Rep Rodney Davis,993153006,Proudly representing the 13th Congressional District of Illinois.,14850,557,2012-12-06 14:20:04,"Taylorville, IL"
EdWorkforce,House Ed & Workforce,16424044,"Fostering the best opportunities for students to learn, workers to succeed, and employers to grow. Chaired by @VirginiaFoxx.",13756,652,2008-09-23 19:33:31,"Washington, D.C."
FreeBeacon,Free Beacon,455764741,You could do worse. https://t.co/CxHKcNeFBF,85773,3490,2012-01-05 13:54:57,United States
marcorubio,Marco Rubio,15745368,US Senator for Florida. Follow @SenRubioPress for more updates.,3387176,2431,2008-08-06 03:07:06,United States
RepHuizenga,Rep. Bill Huizenga,233949261,I serve the people of the 2nd District of Michigan. Member of Financial Services Committee. Father of 5. Visit http://t.co/Rj7T6mD76d for even more!,16825,4672,2011-01-04 14:01:28,"2nd District, MI"
GOPLeader,Kevin McCarthy,19739126,I serve as Majority Leader and Representative of California's 23rd district in the U.S. House of Representatives.,136097,1459,2009-01-29 22:28:48,"Bakersfield, CA"
RepAndyBarr,Rep. Andy Barr,1089334250,Honored to represent Kentucky's Sixth Congressional District.  Fighting to get Kentuckians back to work and restore fiscal responsibility to Washington,14681,1198,2013-01-14 15:29:49,"Lexington, KY"
michaeljohns,Michael Johns,14828860,National Tea Party movement co-founder and leader. Former @WhiteHouse speechwriter and @Heritage policy analyst. @UnivMiami grad. Phone/text: (609) 670-8142,148402,92183,2008-05-19 05:06:21,"New Jersey, USA"
RepRWilliams,Rep. Roger Williams,1077446982,I am honored to represent the 25th Congressional District of Texas. Member of @FinancialCmte.,8201,692,2013-01-10 19:21:22,Central Texas
RepPaulCook,Rep. Paul Cook,1074412920,Twenty-six year retired @USMC Colonel serving as a United States Congressman from California's 8th Congressional District. Join the conversation #CA08 #Semperfi,11005,1164,2013-01-09 17:43:44,"Apple Valley, California"
SenJohnKennedy,John Kennedy,816683274076614656,The official Twitter page for U.S. Senator John N. Kennedy (R-La) https://t.co/4ceoNzx1Ck,9837,1272,2017-01-04 16:30:40,Louisiana
RulesReps,HouseRulesCommittee,78369108,"The official Twitter page for the U.S. House Rules Committee, GOP Majority. Congressman Pete Sessions (R-TX), Chairman.",14705,1404,2009-09-29 17:37:09,"Washington, DC"
RepGusBilirakis,Gus Bilirakis,26051676,"Congressman for Florida’s 12th Congressional District, Committees: @HouseCommerce @HouseVetAffairs",24169,1192,2009-03-23 17:56:32,"Palm Harbor, Fla."
SenThadCochran,Senator Thad Cochran,555474658,Office of U.S. Senator Thad Cochran of Mississippi.,54344,562,2012-04-16 22:33:23,
RepLoudermilk,Barry Loudermilk,2914163523,"Rep. Barry Loudermilk represents Georgia's 11th Congressional District, which includes all of Bartow and Cherokee counties and portions of Cobb and Fulton.",9136,1535,2014-12-10 18:53:17,
RameshPonnuru,Ramesh Ponnuru,305189255,"@NRO, @BV, @AEI, @CBS. Husband of @aprilponnuru.",51746,613,2011-05-25 20:01:54,"Washington, DC"
RepCharlieDent,Rep. Charlie Dent,242376736,"Proud to serve as U.S. Representative for Pennsylvania’s 15th District, which includes all or parts of Berks, Dauphin, Lebanon, Lehigh and Northampton counties.",14650,537,2011-01-24 16:58:11,"Washington, DC"
sendavidperdue,David Perdue,2863210809,Official Twitter account for U.S. Senator David Perdue of Georgia.,38330,983,2014-11-05 20:58:02,Georgia
SenToddYoung,Senator Todd Young,234128524,I proudly serve Hoosier families in the U.S. Senate. Contact my office at (202) 224-5623 for assistance. You can also visit our website for additional info.,34159,496,2011-01-04 22:35:16,Indiana
AriFleischer,Ari Fleischer,35218566,"Ex WH Press Secretary. I run a communications co. whose clients are sports organizations, athletes & corporations. Go Yankees/Dolphins. FOX News contributor.",262880,1252,2009-04-25 14:11:19,
MikeKellyPA,Rep. Mike Kelly,935368364,U.S. Representative Mike Kelly proudly serves the people of Pennsylvania's Third District (#PA03) and currently sits on the House Ways & Means Committee.,10330,1207,2012-11-08 20:31:21,"Washington, DC"
RepChrisStewart,Rep. Chris Stewart,1072008757,"Utah's 2nd District Congressman. Former Air Force B-1 pilot, author, House Intelligence & Appropriations Committees. Visit http://t.co/GUW6weAva6",15890,357,2013-01-08 21:08:19,Utah and DC
CongressmanDan,Dr. Dan Benishek,242761889,Doctor representing #NorthernMichigan. Fighting for Veterans. Growing our economy. Protecting the Great Lakes.,9527,7305,2011-01-25 14:54:16,"Iron River, MI"
SenRonJohnson,Senator Ron Johnson,233737858,Chairman of the Homeland Security and Governmental Affairs Committee & the Subcommittee on Europe & Regional Security Cooperation. Tweets from Ron are signed–rj,78507,340,2011-01-04 00:25:27,"Oshkosh, WI"
SenatorIsakson,Johnny Isakson,78403308,"Official Page of U.S. Senator Johnny Isakson, R-Ga. | Committees: Veterans' Affairs, Chairman; Ethics, Chairman; Foreign Relations; HELP; Finance",50852,446,2009-09-29 20:09:30,GA & DC
HerreraBeutler,JaimeHerreraBeutler,242926427,"I'm proud to have grown up in SW WA, and honored to represent this wonderful region in the US Congress. Want regular email updates? http://t.co/sZutp93Fhg",16297,1113,2011-01-25 22:36:44,
DrPhilRoe,Dr. Phil Roe,52503751,"Official Account of Rep. Phil Roe, MD, serving Tennessee's First Congressional District. @HouseVetAffairs Chair. Member @EdWorkforce & co-chair of @gopdoccaucus",15029,279,2009-06-30 20:07:34,East Tennessee
RepRickAllen,Rick W. Allen,2964287128,Proudly representing Georgia's 12th Congressional District,7534,129,2015-01-06 14:45:18,"Augusta, GA and Washington, DC"
RepSteveStivers,Steve Stivers,211420609,Proud to represent the citizens of Ohio's 15th Congressional District.,28581,939,2010-11-03 05:57:36,
RepHolding,George Holding,1058460818,"Official Twitter account for Congressman George Holding, representing North Carolina's 2nd Congressional District.",12019,252,2013-01-03 18:27:36,
SenTomCotton,Tom Cotton,968650362,U.S. Senator proudly serving the state of Arkansas.,109707,375,2012-11-24 19:33:10,
